nct_id,sponsor or collaborator,start_date
NCT04686175,Inozyme Pharma,"January 1, 2021"
NCT04686175,IQVIA Biotech,"January 1, 2021"
NCT04684446,AstraZeneca,"March 16, 2021"
NCT04684446,R-Pharm,"March 16, 2021"
NCT04683250,Helsinn Healthcare SA,"December 16, 2020"
NCT04683250,ICON Clinical Research,"December 16, 2020"
NCT04678856,Sanofi,"December 2, 2020"
NCT04678856,Regeneron Pharmaceuticals,"December 2, 2020"
NCT04676529,Pharmaxis,"January 1, 2021"
NCT04676529,Parexel,"January 1, 2021"
NCT04669067,"Telios Pharma, Inc.",February 2021
NCT04669067,"Kartos Therapeutics, Inc.",February 2021
NCT04663347,Genmab,"November 16, 2020"
NCT04663347,AbbVie,"November 16, 2020"
NCT04655183,"EMD Serono Research & Development Institute, Inc.","December 1, 2020"
NCT04655183,"Merck KGaA, Darmstadt, Germany","December 1, 2020"
NCT04655183,EMD Serono,"December 1, 2020"
NCT04652206,Scandion Oncology A/S,"October 27, 2020"
NCT04652206,Alcedis GmbH,"October 27, 2020"
NCT04646603,MedRegen LLC,"January 5, 2021"
NCT04646603,"Kendall Healthcare Group, Ltd.","January 5, 2021"
NCT04640532,"Kartos Therapeutics, Inc.","November 17, 2020"
NCT04640532,"Telios Pharma, Inc.","November 17, 2020"
NCT04630756,AstraZeneca,"December 17, 2020"
NCT04630756,Parexel,"December 17, 2020"
NCT04623541,Genmab,November 2020
NCT04623541,AbbVie,November 2020
NCT04612712,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",December 2020
NCT04612712,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd",December 2020
NCT04607655,Galecto Biotech AB,March 2021
NCT04607655,Covance,March 2021
NCT04604782,GE Healthcare,October 2020
NCT04604782,Covance,October 2020
NCT04601610,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd","December 1, 2020"
NCT04601610,"Sunshine Lake Pharma Co., Ltd.","December 1, 2020"
NCT04590781,"Xencor, Inc.","March 31, 2021"
NCT04590781,ICON plc,"March 31, 2021"
NCT04588480,BioNTech SE,"October 21, 2020"
NCT04588480,Pfizer,"October 21, 2020"
NCT04579757,Hutchison Medipharma Limited,"March 31, 2021"
NCT04579757,BeiGene,"March 31, 2021"
NCT04577963,Hutchison Medipharma Limited,April 2021
NCT04577963,BeiGene,April 2021
NCT04570839,Compugen Ltd,"August 31, 2020"
NCT04570839,Bristol-Myers Squibb,"August 31, 2020"
NCT04568031,AstraZeneca,"August 23, 2020"
NCT04568031,Iqvia Pty Ltd,"August 23, 2020"
NCT04565756,Exonate Limited,"November 5, 2020"
NCT04565756,Novotech (Australia) Pty Limited,"November 5, 2020"
NCT04545060,"Vir Biotechnology, Inc.","August 27, 2020"
NCT04545060,GlaxoSmithKline,"August 27, 2020"
NCT04542824,Genmab,"August 20, 2020"
NCT04542824,AbbVie,"August 20, 2020"
NCT04540705,Bristol-Myers Squibb,"September 3, 2020"
NCT04540705,Nektar Therapeutics,"September 3, 2020"
NCT04537208,"Sanofi Pasteur, a Sanofi Company","September 3, 2020"
NCT04537208,GlaxoSmithKline,"September 3, 2020"
NCT04537208,Sanofi,"September 3, 2020"
NCT04524351,Annovis Bio Inc.,"August 14, 2020"
NCT04524351,Parexel,"August 14, 2020"
NCT04472858,"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",January 2021
NCT04472858,CStone Pharmaceuticals,January 2021
NCT04470050,BioXcel Therapeutics Inc,"June 12, 2020"
NCT04470050,Cognitive Research Corporation,"June 12, 2020"
NCT04455503,Evaxion Biotech A/S,"July 13, 2020"
NCT04455503,Novotech (Australia) Pty Limited,"July 13, 2020"
NCT04441398,Azidus Brasil,July 2020
NCT04441398,Farmoquimica S.A.,July 2020
NCT04440436,"Beijing Immunochina Medical Science & Technology Co., Ltd.","June 4, 2020"
NCT04440436,"Jiangsu Simcere Pharmaceutical Co., Ltd.","June 4, 2020"
NCT04434248,Chromis LLC,"April 23, 2020"
NCT04434248,Chemical Diversity Research Institute,"April 23, 2020"
NCT04429503,Regeneron Pharmaceuticals,"June 29, 2020"
NCT04429503,Bayer,"June 29, 2020"
NCT04424641,Genmab,"July 15, 2020"
NCT04424641,AbbVie,"July 15, 2020"
NCT04401475,Edesa Biotech Inc.,September 2020
NCT04401475,JSS Medical Research Inc.,September 2020
NCT04396340,Mersana Therapeutics,"May 11, 2020"
NCT04396340,IQVIA Biotech,"May 11, 2020"
NCT04380532,Immunitor LLC,"May 15, 2020"
NCT04380532,Immunitor Inc.,"May 15, 2020"
NCT04379271,Immunic AG,"June 11, 2020"
NCT04379271,FGK Clinical Research GmbH,"June 11, 2020"
NCT04368728,BioNTech SE,"April 29, 2020"
NCT04368728,Pfizer,"April 29, 2020"
NCT04366115,AVM Biotechnology LLC,November 2020
NCT04366115,"Medpace, Inc.",November 2020
NCT04358458,Genmab,"March 24, 2020"
NCT04358458,AbbVie,"March 24, 2020"
NCT04343287,BRIM Biotechnology Inc.,"January 15, 2020"
NCT04343287,"ORA, Inc.","January 15, 2020"
NCT04336982,Celgene,"August 5, 2020"
NCT04336982,AbbVie,"August 5, 2020"
NCT04330664,Mirati Therapeutics Inc.,"April 22, 2020"
NCT04330664,Novartis,"April 22, 2020"
NCT04329728,AVM Biotechnology LLC,"November 6, 2020"
NCT04329728,"Medpace, Inc.","November 6, 2020"
NCT04315298,Regeneron Pharmaceuticals,"March 18, 2020"
NCT04315298,Sanofi,"March 18, 2020"
NCT04314843,"Kite, A Gilead Company","May 26, 2020"
NCT04314843,"Humanigen, Inc.","May 26, 2020"
NCT04314843,Gilead Sciences,"May 26, 2020"
NCT04301011,"Turnstone Biologics, Corp.","June 2, 2020"
NCT04301011,Takeda,"June 2, 2020"
NCT04277598,Aposcience AG,"October 9, 2020"
NCT04277598,FGK Clinical Research GmbH,"October 9, 2020"
NCT04259281,"GeneTX Biotherapeutics, LLC","February 24, 2020"
NCT04259281,Ultragenyx Pharmaceutical Inc,"February 24, 2020"
NCT04254939,CStone Pharmaceuticals,"August 19, 2019"
NCT04254939,Blueprint Medicines Corporation,"August 19, 2019"
NCT04251910,BioXcel Therapeutics Inc,"December 27, 2019"
NCT04251910,Cognitive Research Corporation,"December 27, 2019"
NCT04243837,PureTech,"March 1, 2020"
NCT04243837,Novotech (Australia) Pty Limited,"March 1, 2020"
NCT04228653,Renishaw,"March 20, 2019"
NCT04228653,Herantis Pharma Plc.,"March 20, 2019"
NCT04222985,"Sanofi Pasteur, a Sanofi Company","December 11, 2019"
NCT04222985,Immune Design,"December 11, 2019"
NCT04222985,Sanofi,"December 11, 2019"
NCT04208958,"Vedanta Biosciences, Inc.","January 23, 2020"
NCT04208958,Bristol-Myers Squibb,"January 23, 2020"
NCT04206553,Regeneron Pharmaceuticals,"October 28, 2020"
NCT04206553,Sanofi,"October 28, 2020"
NCT04205227,"ENB Therapeutics, Inc","January 18, 2020"
NCT04205227,Merck Sharp & Dohme Corp.,"January 18, 2020"
NCT04203641,Helix BioPharma Corporation,"December 11, 2019"
NCT04203641,Theradex,"December 11, 2019"
NCT04200404,CStone Pharmaceuticals,"December 13, 2019"
NCT04200404,Bayer,"December 13, 2019"
NCT04198480,Shanghai JMT-Bio Inc.,"January 24, 2020"
NCT04198480,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","January 24, 2020"
NCT04194801,CStone Pharmaceuticals,"December 16, 2019"
NCT04194801,Blueprint Medicines Corporation,"December 16, 2019"
NCT04130516,"Linnaeus Therapeutics, Inc.","October 21, 2019"
NCT04130516,Merck Sharp & Dohme Corp.,"October 21, 2019"
NCT04116658,Enterome,"July 13, 2020"
NCT04116658,Covance,"July 13, 2020"
NCT04115956,Oncopeptides AB,"August 6, 2020"
NCT04115956,PRA Health Sciences,"August 6, 2020"
NCT04086264,"ImmunoGen, Inc.","November 6, 2019"
NCT04086264,Jazz Pharmaceuticals,"November 6, 2019"
NCT04083599,Genmab,"September 17, 2019"
NCT04083599,BioNTech SE,"September 17, 2019"
NCT04082364,MacroGenics,"September 30, 2019"
NCT04082364,"Zai Lab (Shanghai) Co., Ltd.","September 30, 2019"
NCT04078295,"Eisai Co., Ltd.","September 5, 2019"
NCT04078295,Ono Pharmaceutical Co. Ltd,"September 5, 2019"
NCT04078295,Eisai Inc.,"September 5, 2019"
NCT04075396,"Janssen Research & Development, LLC","October 16, 2019"
NCT04075396,Yuhan Corporation,"October 16, 2019"
NCT04066491,"EMD Serono Research & Development Institute, Inc.","September 20, 2019"
NCT04066491,"Merck KGaA, Darmstadt, Germany","September 20, 2019"
NCT04066491,EMD Serono,"September 20, 2019"
NCT04052971,Abion Inc,"August 1, 2019"
NCT04052971,Novotech (Australia) Pty Limited,"August 1, 2019"
NCT04046445,Amal Therapeutics,"July 22, 2019"
NCT04046445,Boehringer Ingelheim,"July 22, 2019"
NCT03996473,Bayer,"March 6, 2020"
NCT03996473,Merck Sharp & Dohme Corp.,"March 6, 2020"
NCT03992131,"Clovis Oncology, Inc.","June 28, 2019"
NCT03992131,"Immunomedics, Inc.","June 28, 2019"
NCT03989115,"Revolution Medicines, Inc.","July 3, 2019"
NCT03989115,Sanofi,"July 3, 2019"
NCT03983395,Ichnos Sciences SA,"April 8, 2020"
NCT03983395,Glenmark Pharmaceuticals S.A.,"April 8, 2020"
NCT03970616,"AVEO Pharmaceuticals, Inc.","September 30, 2019"
NCT03970616,AstraZeneca,"September 30, 2019"
NCT03953235,"Gritstone Oncology, Inc.","July 18, 2019"
NCT03953235,Bristol-Myers Squibb,"July 18, 2019"
NCT03917381,Genmab,"May 14, 2019"
NCT03917381,BioNTech SE,"May 14, 2019"
NCT03913741,Genmab,"March 13, 2019"
NCT03913741,Seagen Inc.,"March 13, 2019"
NCT03907969,AstraZeneca,"October 9, 2019"
NCT03907969,Parexel,"October 9, 2019"
NCT03905148,BeiGene,"May 1, 2019"
NCT03905148,"SpringWorks Therapeutics, Inc.","May 1, 2019"
NCT03880058,"Scarless Laboratories, Inc.","March 18, 2019"
NCT03880058,ethica Clinical Research Inc.,"March 18, 2019"
NCT03870945,Miltenyi Biomedicine GmbH,"February 25, 2019"
NCT03870945,ICON plc,"February 25, 2019"
NCT03840915,"EMD Serono Research & Development Institute, Inc.","April 2, 2019"
NCT03840915,"Merck KGaA, Darmstadt, Germany","April 2, 2019"
NCT03840915,EMD Serono,"April 2, 2019"
NCT03770689,"EMD Serono Research & Development Institute, Inc.","March 20, 2019"
NCT03770689,"Merck KGaA, Darmstadt, Germany","March 20, 2019"
NCT03770689,EMD Serono,"March 20, 2019"
NCT03763318,Equillium,"July 15, 2019"
NCT03763318,Biocon Limited,"July 15, 2019"
NCT03758404,MeiraGTx UK II Ltd,"July 18, 2019"
NCT03758404,"Janssen Research & Development, LLC","July 18, 2019"
NCT03752723,"Genexine, Inc.","March 27, 2019"
NCT03752723,Merck Sharp & Dohme Corp.,"March 27, 2019"
NCT03735290,Immunicum AB,"January 14, 2019"
NCT03735290,PPD,"January 14, 2019"
NCT03696212,Arrys Therapeutics,"January 8, 2019"
NCT03696212,Merck Sharp & Dohme Corp.,"January 8, 2019"
NCT03639714,"Gritstone Oncology, Inc.","February 13, 2019"
NCT03639714,Bristol-Myers Squibb,"February 13, 2019"
NCT03637803,4D pharma plc,"January 10, 2019"
NCT03637803,Merck Sharp & Dohme Corp.,"January 10, 2019"
NCT03636256,"NanOlogy, LLC","April 2, 2019"
NCT03636256,"US Biotest, Inc.","April 2, 2019"
NCT03860155,RHEACELL GmbH & Co. KG,"March 22, 2019"
NCT03860155,FGK Clinical Research GmbH,"March 22, 2019"
NCT03860155,Ticeba GmbH,"March 22, 2019"
NCT03761914,Sellas Life Sciences Group,"June 28, 2019"
NCT03761914,Merck Sharp & Dohme Corp.,"June 28, 2019"
NCT03761914,"Cancer Insight, LLC","June 28, 2019"
NCT04652076,NETRIS Pharma,"November 25, 2020"
NCT04652076,Merck Sharp & Dohme Corp.,"November 25, 2020"
NCT04652076,Centre Leon Berard,"November 25, 2020"
NCT04452474,R-Pharm,"June 30, 2020"
NCT04452474,"Cromos Pharma, LLC","June 30, 2020"
NCT04452474,Covance,"June 30, 2020"
NCT04088721,Advagene Biopharma Co. Ltd.,"March 26, 2019"
NCT04088721,Clinipace Worldwide,"March 26, 2019"
NCT04088721,Taipei Medical University,"March 26, 2019"
NCT04042116,"Clovis Oncology, Inc.","July 29, 2019"
NCT04042116,Bristol-Myers Squibb,"July 29, 2019"
